iter	RMSE
0	3017.535902
1	2946.245623
2	2889.500661
3	2844.517913
4	2808.900244
5	2779.903709
6	2754.775946
7	2734.627714
8	2717.479169
9	2702.601502
10	2686.400696
11	2675.829695
12	2665.901296
13	2657.743432
14	2650.532631
15	2641.346168
16	2631.535995
17	2622.755757
18	2617.754744
19	2612.264834
20	2607.525943
21	2601.610126
22	2596.043599
23	2592.331621
24	2582.425115
25	2578.880583
26	2572.762876
27	2564.862472
28	2559.871773
29	2556.961035
30	2552.00282
31	2547.483687
32	2543.294439
33	2536.489831
34	2533.671829
35	2530.763802
36	2525.358008
37	2521.054394
38	2507.427333
39	2504.321176
40	2493.665995
41	2490.70858
42	2485.834047
43	2483.854738
44	2479.575831
45	2477.570126
46	2473.656347
47	2471.940853
48	2469.230863
49	2466.329329
50	2462.557207
51	2460.496187
52	2458.573884
53	2457.18192
54	2451.456429
55	2450.135307
56	2446.967284
57	2445.486803
58	2442.19736
59	2440.260529
60	2437.745926
61	2432.846952
62	2431.617181
63	2430.376159
64	2427.451213
65	2421.971921
66	2418.101672
67	2413.405339
68	2411.217688
69	2408.209111
70	2403.688064
71	2401.500262
72	2398.904615
73	2397.939565
74	2395.141311
75	2393.990781
76	2392.909537
77	2388.226732
78	2386.899609
79	2384.860591
80	2383.029645
81	2381.612181
82	2378.124713
83	2377.02782
84	2375.090448
85	2374.163052
86	2367.50942
87	2364.347516
88	2363.064129
89	2361.269362
90	2357.250323
91	2354.102582
92	2353.343804
93	2351.110932
94	2349.74489
95	2345.873477
96	2342.988303
97	2342.165159
98	2338.018206
99	2336.134299
100	2335.471819
101	2331.575843
102	2330.445719
103	2329.542698
104	2328.729641
105	2325.485012
106	2323.606149
107	2321.482095
108	2317.884308
109	2316.489701
110	2313.689701
111	2311.093592
112	2310.455821
113	2307.715971
114	2306.828289
115	2306.158937
116	2305.268258
117	2302.617934
118	2300.128022
119	2299.180096
120	2297.122314
121	2295.302796
122	2293.154117
123	2291.54989
124	2290.304489
125	2289.096211
126	2285.862887
127	2284.545824
128	2283.826129
129	2280.928402
130	2278.626029
131	2277.361436
132	2275.973713
133	2274.992657
134	2272.759953
135	2271.175066
136	2268.512836
137	2267.993608
138	2267.268439
139	2266.688131
140	2265.51504
141	2263.641363
142	2262.026729
143	2260.754468
144	2260.163113
145	2256.281019
146	2254.410189
147	2253.262518
148	2252.854514
149	2248.977968
150	2247.00842
151	2244.201143
152	2243.122856
153	2241.384618
154	2239.355724
155	2238.863886
156	2237.542708
157	2235.722445
158	2234.177492
159	2230.91003
160	2230.121702
161	2227.024254
162	2223.540983
163	2220.171751
164	2218.610729
165	2218.085312
166	2216.642114
167	2215.907679
168	2214.635887
169	2212.748309
170	2211.335887
171	2210.518177
172	2208.136255
173	2205.126474
174	2203.302686
175	2201.454528
176	2200.733734
177	2198.978996
178	2195.506705
179	2194.918468
180	2193.473471
181	2191.156098
182	2189.168988
183	2188.381167
184	2187.753229
185	2187.185419
186	2186.533056
187	2184.560306
188	2183.468521
189	2182.165389
190	2180.008883
191	2179.622654
192	2179.131083
193	2177.983605
194	2175.934873
195	2174.48746
